日期,推广计划名称,宝贝名称,关键词,流量来源,搜索类型,展现量,点击量,花费(分),点击率,平均展现排名,平均点击花费(分),千次展现花费(分),点击转化率,直接成交金额(分),直接成交笔数,间接成交金额(分),间接成交笔数,总成交金额(分),总成交笔数,宝贝收藏数,店铺收藏数,总收藏数,投入产出比,直接购物车数,间接购物车数,总购物车数
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,风扇,移动站内,搜索,131,2,527,1.53,26,263.50,4022.90,0.00,0,0,0,0,0,0,1,0,1,0.00,0,0,0
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,生活电器 风扇,计算机站内,搜索,2,0,0,0.00,10,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,高端取暖器,移动站内,搜索,276,8,2611,2.90,4,326.38,9460.14,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,暖风,计算机站内,搜索,51,0,0,0.00,27,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,暖风,移动站内,搜索,65,0,0,0.00,12,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,取暖 暖风机,计算机站内,搜索,11,0,0,0.00,36,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝EC品类计划,Dyson戴森HP01取暖器 净化、取暖、凉风三合一,取暖 暖风机,移动站内,搜索,23,0,0,0.00,46,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,吸尘器 德国,计算机站内,搜索,12,0,0,0.00,1,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,吸尘器 德国,移动站内,搜索,39,1,402,2.56,5,402.00,10307.69,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,无绳吸尘器,计算机站内,搜索,1,0,0,0.00,17,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,无绳吸尘器,移动站内,搜索,3,0,0,0.00,12,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,手持吸尘器 无线,计算机站内,搜索,3,0,0,0.00,12,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,吸尘器 家用,计算机站内,搜索,148,0,0,0.00,28,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,吸尘器 家用,移动站内,搜索,62,1,509,1.61,36,509.00,8209.68,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,手持式吸尘器 家用,计算机站内,搜索,120,3,1155,2.50,13,385.00,9625.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,手持式吸尘器 家用,移动站内,搜索,15,0,0,0.00,32,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,强力吸尘器 家用,计算机站内,搜索,50,0,0,0.00,29,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,强力吸尘器 家用,移动站内,搜索,2,0,0,0.00,76,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,吸尘器家用强力 大功率,移动站内,搜索,3,0,0,0.00,32,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,吸尘器家用强力 德国,计算机站内,搜索,8,0,0,0.00,3,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,吸尘器家用强力 德国,移动站内,搜索,3,0,0,0.00,34,,0.00,,,,,,,,,,,,,,
2017-03-05,喜宝FC品类计划,Dyson戴森V6 Origin 无绳吸尘器 除尘防过敏,进口吸尘器,计算机站内,搜索,4,0,0,0.00,1,,0.00,,,,,,,,,,,,,,
